"","idbs","timepoint","child","code"
"pn56_se1g_337",337,"pn56","no","B Z"
"pn56_se1g_337_e",337,"pn56","yes","B Z"
"tri3_se1g_337",337,"tri3","no","B Z"
"pn12_se1g_337_e",337,"pn12","yes","B Z"
"pn12_se1g_337",337,"pn12","no","B Z"
"pn56_se1g_338_e",338,"pn56","yes","A Y"
"pn12_se1g_338_e",338,"pn12","yes","A Y"
"tri3_se1g_338",338,"tri3","no","A Y"
"pn12_se1g_338",338,"pn12","no","A Y"
"pn56_se1g_338",338,"pn56","no","A Y"
"pn12_se1g_339",339,"pn12","no","A Y"
"tri3_se1g_339",339,"tri3","no","A Y"
"pn56_se1g_339",339,"pn56","no","A Y"
"pn12_se1g_339_e",339,"pn12","yes","A Y"
"pn12_se1g_340_e",340,"pn12","yes","A Y"
"tri3_se1g_340",340,"tri3","no","A Y"
"pn56_se1g_340",340,"pn56","no","A Y"
"pn12_se1g_340",340,"pn12","no","A Y"
"pn56_se1g_341",341,"pn56","no","B Z"
"pn12_se1g_341_e",341,"pn12","yes","B Z"
"pn12_se1g_341",341,"pn12","no","B Z"
"pn56_se1g_341_e",341,"pn56","yes","B Z"
"tri3_se1g_341",341,"tri3","no","B Z"
"pn56_se1g_342_e",342,"pn56","yes","B Z"
"pn12_se1g_342_e",342,"pn12","yes","B Z"
"tri3_se1g_342",342,"tri3","no","B Z"
"pn12_se1g_342",342,"pn12","no","B Z"
"pn56_se1g_342",342,"pn56","no","B Z"
"tri3_se1g_345",345,"tri3","no","B Z"
"pn12_se1g_345",345,"pn12","no","B Z"
"pn56_se1g_345_e",345,"pn56","yes","B Z"
"pn56_se1g_345",345,"pn56","no","B Z"
"pn12_se1g_345_e",345,"pn12","yes","B Z"
"pn56_se1g_346_e",346,"pn56","yes","B Z"
"pn56_se1g_346",346,"pn56","no","B Z"
"tri3_se1g_346",346,"tri3","no","B Z"
"pn12_se1g_346_e",346,"pn12","yes","B Z"
"pn12_se1g_346",346,"pn12","no","B Z"
"pn56_se1g_347",347,"pn56","no","B Z"
"pn12_se1g_347",347,"pn12","no","B Z"
"tri3_se1g_347",347,"tri3","no","B Z"
"pn12_se1g_347_e",347,"pn12","yes","B Z"
"pn56_se1g_347_e",347,"pn56","yes","B Z"
"tri3_se1g_348",348,"tri3","no","A Y"
"pn56_se1g_348_e",348,"pn56","yes","A Y"
"pn12_se1g_348_e",348,"pn12","yes","A Y"
"pn56_se1g_348",348,"pn56","no","A Y"
"pn56_se1g_349_e",349,"pn56","yes","B Z"
"tri3_se1g_349",349,"tri3","no","B Z"
"pn12_se1g_349",349,"pn12","no","B Z"
"pn56_se1g_349",349,"pn56","no","B Z"
"pn12_se1g_349_e",349,"pn12","yes","B Z"
"pn12_se1g_351_e",351,"pn12","yes","A Y"
"tri3_se1g_351",351,"tri3","no","A Y"
"pn56_se1g_351",351,"pn56","no","A Y"
"pn56_se1g_351_e",351,"pn56","yes","A Y"
"pn12_se1g_351",351,"pn12","no","A Y"
"pn56_se1g_352_e",352,"pn56","yes","A Y"
"pn56_se1g_352",352,"pn56","no","A Y"
"pn12_se1g_352_e",352,"pn12","yes","A Y"
"pn12_se1g_352",352,"pn12","no","A Y"
"tri3_se1g_352",352,"tri3","no","A Y"
"pn56_se1g_353",353,"pn56","no","A Y"
"tri3_se1g_353",353,"tri3","no","A Y"
"pn12_se1g_353_e",353,"pn12","yes","A Y"
"pn12_se1g_353",353,"pn12","no","A Y"
"pn56_se1g_353_e",353,"pn56","yes","A Y"
"pn56_se1g_401_e",401,"pn56","yes","A Y"
"pn56_se1g_401",401,"pn56","no","A Y"
"incl_se1g_401",401,"incl","no","A Y"
"tri3_se1g_401",401,"tri3","no","A Y"
"pn12_se1g_401_e",401,"pn12","yes","A Y"
"pn12_se1g_401",401,"pn12","no","A Y"
"pn12_se1g_402",402,"pn12","no","B Z"
"pn12_se1g_402_e",402,"pn12","yes","B Z"
"pn56_se1g_402_e",402,"pn56","yes","B Z"
"pn56_se1g_402",402,"pn56","no","B Z"
"incl_se1g_402",402,"incl","no","B Z"
"tri3_se1g_402",402,"tri3","no","B Z"
"tri3_se1g_405",405,"tri3","no","B Z"
"pn56_se1g_405_e",405,"pn56","yes","B Z"
"incl_se1g_405",405,"incl","no","B Z"
"pn56_se1g_405",405,"pn56","no","B Z"
"pn12_se1g_405",405,"pn12","no","B Z"
"pn12_se1g_405_e",405,"pn12","yes","B Z"
"pn56_se1g_411",411,"pn56","no","B Z"
"pn56_se1g_411_e",411,"pn56","yes","B Z"
"tri3_se1g_411",411,"tri3","no","B Z"
"pn12_se1g_411_e",411,"pn12","yes","B Z"
"pn12_se1g_411",411,"pn12","no","B Z"
"incl_se1g_411",411,"incl","no","B Z"
"pn12_se1g_412",412,"pn12","no","A Y"
"tri3_se1g_412",412,"tri3","no","A Y"
"pn12_se1g_412_e",412,"pn12","yes","A Y"
"pn12_se1g_414_e",414,"pn12","yes","B Z"
"pn56_se1g_414_e",414,"pn56","yes","B Z"
"pn56_se1g_414",414,"pn56","no","B Z"
"pn12_se1g_414",414,"pn12","no","B Z"
"tri3_se1g_414",414,"tri3","no","B Z"
"pn56_se1g_415",415,"pn56","no","A Y"
"tri3_se1g_415",415,"tri3","no","A Y"
"pn12_se1g_415_e",415,"pn12","yes","A Y"
"pn12_se1g_415",415,"pn12","no","A Y"
"pn12_se1g_418_e",418,"pn12","yes","A Y"
"tri3_se1g_418",418,"tri3","no","A Y"
"pn12_se1g_418",418,"pn12","no","A Y"
"pn56_se1g_418",418,"pn56","no","A Y"
"incl_se1g_418",418,"incl","no","A Y"
"pn56_se1g_418_e",418,"pn56","yes","A Y"
"pn12_se1g_420_e",420,"pn12","yes","B Z"
"pn12_se1g_420",420,"pn12","no","B Z"
"tri3_se1g_420",420,"tri3","no","B Z"
"pn56_se1g_420",420,"pn56","no","B Z"
"pn56_se1g_420_e",420,"pn56","yes","B Z"
"tri3_se1g_422",422,"tri3","no","A Y"
"pn56_se1g_422",422,"pn56","no","A Y"
"pn12_se1g_422",422,"pn12","no","A Y"
"pn12_se1g_422_e",422,"pn12","yes","A Y"
"pn56_se1g_423",423,"pn56","no","B Z"
"pn12_se1g_423",423,"pn12","no","B Z"
"pn12_se1g_423_e",423,"pn12","yes","B Z"
"tri3_se1g_423",423,"tri3","no","B Z"
"tri3_se1g_424",424,"tri3","no","A Y"
"pn12_se1g_424_e",424,"pn12","yes","A Y"
"pn56_se1g_424",424,"pn56","no","A Y"
"pn12_se1g_424",424,"pn12","no","A Y"
"tri3_se1g_425",425,"tri3","no","A Y"
"pn12_se1g_425",425,"pn12","no","A Y"
"pn12_se1g_425_e",425,"pn12","yes","A Y"
"pn56_se1g_425",425,"pn56","no","A Y"
"pn12_se1g_427",427,"pn12","no","A Y"
"tri3_se1g_427",427,"tri3","no","A Y"
"pn56_se1g_427",427,"pn56","no","A Y"
"pn12_se1g_427_e",427,"pn12","yes","A Y"
"pn12_se1g_428_e",428,"pn12","yes","B Z"
"incl_se1g_428",428,"incl","no","B Z"
"pn56_se1g_428",428,"pn56","no","B Z"
"pn56_se1g_428_e",428,"pn56","yes","B Z"
"tri3_se1g_428",428,"tri3","no","B Z"
"pn12_se1g_428",428,"pn12","no","B Z"
"tri3_se1g_434",434,"tri3","no","B Z"
"pn56_se1g_435",435,"pn56","no","B Z"
"pn56_se1g_435_e",435,"pn56","yes","B Z"
"tri3_se1g_435",435,"tri3","no","B Z"
"pn12_se1g_435_e",435,"pn12","yes","B Z"
"pn12_se1g_435",435,"pn12","no","B Z"
"tri3_se1g_436",436,"tri3","no","A Y"
"pn12_se1g_436_e",436,"pn12","yes","A Y"
"pn56_se1g_436_e",436,"pn56","yes","A Y"
"pn12_se1g_436",436,"pn12","no","A Y"
"pn56_se1g_436",436,"pn56","no","A Y"
"pn56_se1g_439",439,"pn56","no","A Y"
"tri3_se1g_439",439,"tri3","no","A Y"
"pn12_se1g_439",439,"pn12","no","A Y"
"pn56_se1g_439_e",439,"pn56","yes","A Y"
"pn12_se1g_439_e",439,"pn12","yes","A Y"
"pn56_se1g_502_e",502,"pn56","yes","A Y"
"pn12_se1g_502_e",502,"pn12","yes","A Y"
"incl_se1g_502",502,"incl","no","A Y"
"pn56_se1g_502",502,"pn56","no","A Y"
"pn12_se1g_502",502,"pn12","no","A Y"
"tri3_se1g_502",502,"tri3","no","A Y"
"pn56_se1g_503_e",503,"pn56","yes","B Z"
"pn12_se1g_503_e",503,"pn12","yes","B Z"
"tri3_se1g_503",503,"tri3","no","B Z"
"pn12_se1g_503",503,"pn12","no","B Z"
"pn56_se1g_503",503,"pn56","no","B Z"
"incl_se1g_503",503,"incl","no","B Z"
"pn12_se1g_504",504,"pn12","no","A Y"
"pn56_se1g_504",504,"pn56","no","A Y"
"pn56_se1g_504_e",504,"pn56","yes","A Y"
"pn12_se1g_504_e",504,"pn12","yes","A Y"
"incl_se1g_504",504,"incl","no","A Y"
"tri3_se1g_504",504,"tri3","no","A Y"
"incl_se1g_505",505,"incl","no","A Y"
"pn12_se1g_505",505,"pn12","no","A Y"
"pn56_se1g_505",505,"pn56","no","A Y"
"tri3_se1g_505",505,"tri3","no","A Y"
"pn12_se1g_505_e",505,"pn12","yes","A Y"
"pn56_se1g_505_e",505,"pn56","yes","A Y"
"pn56_se1g_506",506,"pn56","no","B Z"
"incl_se1g_506",506,"incl","no","B Z"
"pn56_se1g_506_e",506,"pn56","yes","B Z"
"tri3_se1g_506",506,"tri3","no","B Z"
"pn12_se1g_506_e",506,"pn12","yes","B Z"
"pn12_se1g_506",506,"pn12","no","B Z"
"pn56_se1g_507",507,"pn56","no","B Z"
"pn12_se1g_507_e",507,"pn12","yes","B Z"
"tri3_se1g_507",507,"tri3","no","B Z"
"pn12_se1g_507",507,"pn12","no","B Z"
"pn56_se1g_507_e",507,"pn56","yes","B Z"
"incl_se1g_507",507,"incl","no","B Z"
"tri3_se1g_508",508,"tri3","no","A Y"
"incl_se1g_508",508,"incl","no","A Y"
"pn12_se1g_510",510,"pn12","no","A Y"
"incl_se1g_510",510,"incl","no","A Y"
"tri3_se1g_510",510,"tri3","no","A Y"
"pn56_se1g_510",510,"pn56","no","A Y"
"pn12_se1g_510_e",510,"pn12","yes","A Y"
"pn12_se1g_511",511,"pn12","no","B Z"
"incl_se1g_511",511,"incl","no","B Z"
"pn56_se1g_511_e",511,"pn56","yes","B Z"
"pn12_se1g_511_e",511,"pn12","yes","B Z"
"pn56_se1g_511",511,"pn56","no","B Z"
"tri3_se1g_511",511,"tri3","no","B Z"
"pn56_se1g_512_e",512,"pn56","yes","A Y"
"pn56_se1g_512",512,"pn56","no","A Y"
"pn12_se1g_512",512,"pn12","no","A Y"
"incl_se1g_512",512,"incl","no","A Y"
"tri3_se1g_512",512,"tri3","no","A Y"
"pn12_se1g_512_e",512,"pn12","yes","A Y"
"pn56_se1g_513",513,"pn56","no","A Y"
"pn56_se1g_513_e",513,"pn56","yes","A Y"
"pn12_se1g_513",513,"pn12","no","A Y"
"tri3_se1g_513",513,"tri3","no","A Y"
"pn12_se1g_513_e",513,"pn12","yes","A Y"
"tri3_se1g_515",515,"tri3","no","A Y"
"pn56_se1g_515_e",515,"pn56","yes","A Y"
"pn12_se1g_515",515,"pn12","no","A Y"
"pn56_se1g_515",515,"pn56","no","A Y"
"pn12_se1g_515_e",515,"pn12","yes","A Y"
"pn12_se1g_517",517,"pn12","no","B Z"
"tri3_se1g_517",517,"tri3","no","B Z"
"pn56_se1g_517",517,"pn56","no","B Z"
"pn56_se1g_517_e",517,"pn56","yes","B Z"
"pn12_se1g_517_e",517,"pn12","yes","B Z"
"pn56_se1g_518",518,"pn56","no","A Y"
"tri3_se1g_518",518,"tri3","no","A Y"
"pn56_se1g_518_e",518,"pn56","yes","A Y"
"pn12_se1g_518_e",518,"pn12","yes","A Y"
"pn12_se1g_518",518,"pn12","no","A Y"
"pn12_se1g_521_e",521,"pn12","yes","B Z"
"pn56_se1g_521",521,"pn56","no","B Z"
"tri3_se1g_521",521,"tri3","no","B Z"
"pn12_se1g_521",521,"pn12","no","B Z"
"incl_se1g_522",522,"incl","no","B Z"
"pn12_se1g_522",522,"pn12","no","B Z"
"pn12_se1g_522_e",522,"pn12","yes","B Z"
"tri3_se1g_522",522,"tri3","no","B Z"
"pn56_se1g_522",522,"pn56","no","B Z"
"pn56_se1g_522_e",522,"pn56","yes","B Z"
"pn12_se1g_523",523,"pn12","no","A Y"
"pn56_se1g_523_e",523,"pn56","yes","A Y"
"pn12_se1g_523_e",523,"pn12","yes","A Y"
"pn56_se1g_523",523,"pn56","no","A Y"
"tri3_se1g_523",523,"tri3","no","A Y"
"pn56_se1g_532",532,"pn56","no","A Y"
"tri3_se1g_532",532,"tri3","no","A Y"
"pn56_se1g_532_e",532,"pn56","yes","A Y"
"pn12_se1g_532",532,"pn12","no","A Y"
"tri3_se1g_533",533,"tri3","no","B Z"
"pn12_se1g_533",533,"pn12","no","B Z"
"pn56_se1g_533",533,"pn56","no","B Z"
"pn12_se1g_533_e",533,"pn12","yes","B Z"
"pn56_se1g_534",534,"pn56","no","A Y"
"tri3_se1g_534",534,"tri3","no","A Y"
"pn12_se1g_534_e",534,"pn12","yes","A Y"
"pn12_se1g_534",534,"pn12","no","A Y"
"pn12_se1g_538",538,"pn12","no","A Y"
"pn56_se1g_538",538,"pn56","no","A Y"
"pn12_se1g_538_e",538,"pn12","yes","A Y"
"tri3_se1g_538",538,"tri3","no","A Y"
"pn12_se1g_540_e",540,"pn12","yes","B Z"
"pn12_se1g_540",540,"pn12","no","B Z"
"tri3_se1g_540",540,"tri3","no","B Z"
"pn56_se1g_540",540,"pn56","no","B Z"
"tri3_se1g_542",542,"tri3","no","B Z"
"incl_se1g_542",542,"incl","no","B Z"
"pn56_se1g_542_e",542,"pn56","yes","B Z"
"pn12_se1g_542",542,"pn12","no","B Z"
"pn12_se1g_542_e",542,"pn12","yes","B Z"
"pn56_se1g_542",542,"pn56","no","B Z"
"pn12_se1g_545_e",545,"pn12","yes","B Z"
"pn56_se1g_545_e",545,"pn56","yes","B Z"
"pn12_se1g_545",545,"pn12","no","B Z"
"tri3_se1g_545",545,"tri3","no","B Z"
"pn56_se1g_545",545,"pn56","no","B Z"
"pn56_se1g_549",549,"pn56","no","A Y"
"pn56_se1g_549_e",549,"pn56","yes","A Y"
"pn12_se1g_549_e",549,"pn12","yes","A Y"
"pn12_se1g_549",549,"pn12","no","A Y"
"incl_se1g_549",549,"incl","no","A Y"
